gamma_true,n_budget,strategy,n_reps,n_cal,p_infinite,coverage_mean,coverage_sd,width_mean,width_sd,width_q25,width_q75,cov_at_d3_mean,gamma_hat_mean,gamma_hat_median,share_gamma_zero,width_vs_oracle
0.0,1600,tuned_split,2000,960,0.0,0.9499643440780773,0.006967100239286952,3.944316118383721,0.12643141805446403,3.859426794079889,4.0238375288044725,0.964606372552481,0.03708333333333333,0.0,0.6735,1.0048998085195406
0.0,3200,fixed_g1,2000,3200,0.0,0.9500731264318127,0.003851798912977963,4.638819422550307,0.09267599629454444,4.575777549097655,4.7005738262108245,0.9999999952027193,,,,1.1823043209448807
0.0,3200,marginal,2000,3200,0.0,0.9500920135333044,0.003762016480817052,3.9235409533503436,0.06451670325699682,3.879850053909412,3.9656001468374433,0.9500920135333043,,,,1.0
0.0,3200,oracle_shape,2000,3200,0.0,0.9500920135333044,0.003762016480817052,3.9235409533503436,0.06451670325699682,3.879850053909412,3.9656001468374433,0.9500920135333043,,,,1.0
0.0,3200,tuned_split,2000,1920,0.0,0.9500697047629446,0.004894640788949753,3.9349512555328134,0.08654432006581388,3.8778395529934286,3.993138767021155,0.9612925937340503,0.024375,0.0,0.7435,1.0029081644152908
1.0,25,fixed_g1,2000,25,0.0,0.9588712098598222,0.03954364330644019,6.160771852611507,1.3102830588340786,5.222955542965651,6.8963411948880005,0.9742712556197219,,,,1.021391896599493
1.0,25,marginal,2000,25,0.0,0.9602504784022973,0.03820644438657585,6.986979801053517,2.170650389105876,5.481868418740878,8.058636041455502,0.7051586778952383,,,,1.1583685812801705
1.0,25,oracle_shape,2000,25,0.0,0.9587459294753509,0.03974729986720077,6.03174146292181,1.2606844602067433,5.147215081042336,6.773582219322546,0.9587459294753506,,,,1.0
1.0,25,tuned_split,2000,15,1.0,1.0,0.0,inf,,inf,inf,1.0,0.0,0.0,1.0,inf
1.0,31,fixed_g1,2000,31,0.0,0.9689551737391032,0.029636235736865427,6.47665523112209,1.285035457892543,5.56442979512026,7.235157805392603,0.9816751505933662,,,,1.0219145051588578
1.0,31,marginal,2000,31,0.0,0.96846592526796,0.030482064479444196,7.413368266473383,2.251268659193767,5.845013366761952,8.476548492602149,0.7321671836629079,,,,1.1697131147555315
1.0,31,oracle_shape,2000,31,0.0,0.9687806019817917,0.030011326431979256,6.3377662205854355,1.236991258200179,5.446664380441671,7.096318109711795,0.9687806019817915,,,,1.0
1.0,31,tuned_split,2000,19,0.0,0.9496694836912545,0.046994247282802284,6.59651846784431,2.182657527712921,5.043565151399176,7.670350462872824,0.6767362027573505,0.0,0.0,1.0,1.040827041934496
1.0,50,fixed_g1,2000,50,0.0,0.9607919824404717,0.025659294091698998,5.930591321644703,0.8372638062152263,5.327619496771605,6.435190690432161,0.9767571095526721,,,,1.0199137174715536
