family,seed,analysis,method,stratum,n_cal,n_eval,picp,mpiw,crps_uniform
semf_testsplit,4,region,mondrian_cqr,0,168,153,0.9281045751633987,3.4813936132697942,0.5080646970291651
semf_testsplit,4,region,global_cqr,1,554,172,0.9534883720930233,2.839518518770785,0.39877441042362416
semf_testsplit,4,region,mondrian_cqr,1,174,172,0.9651162790697675,3.0035358093558173,0.4045087500277074
semf_testsplit,4,region,global_cqr,2,554,208,0.9663461538461539,2.828450597023549,0.37285723654729186
semf_testsplit,4,region,mondrian_cqr,2,191,208,0.9230769230769231,2.182257961558548,0.3509608411303743
semf_testsplit,4,region,global_cqr,3,554,22,0.8636363636363636,2.935987282228444,0.5442242414447512
semf_testsplit,4,region,mondrian_cqr,3,21,22,0.9090909090909091,3.479834983946114,0.5502437583885732
aug_theta_testsplit,4,regime,raw,full,0,555,0.05945945945945946,0.08597216931033276,0.3292350459760317
aug_theta_testsplit,4,regime,cqr,full,554,555,0.9495495495495495,1.7782000116936796,0.25940763811340034
aug_theta_testsplit,4,uncert,global_cqr,0,554,186,0.978494623655914,1.7398548662982962,0.22065067244258868
aug_theta_testsplit,4,uncert,mondrian_cqr,0,185,186,0.9731182795698925,1.4912528307527624,0.21142966156326123
aug_theta_testsplit,4,uncert,global_cqr,1,554,172,0.9302325581395349,1.7649771035757176,0.27566615292975605
aug_theta_testsplit,4,uncert,mondrian_cqr,1,184,172,0.9127906976744186,1.5839794870725898,0.27207197066211497
aug_theta_testsplit,4,uncert,global_cqr,2,554,197,0.9390862944162437,1.8259489316928206,0.2818052577395821
aug_theta_testsplit,4,uncert,mondrian_cqr,2,185,197,0.9746192893401016,2.208226191815991,0.29444097190447077
