dataset,seed,base,calibration,bin,n,picp,mpiw,crps,disagreement_mean
imdb_wiki,1,xgb_quantile,weighted_dis,high,1267,0.9431728492501973,43.65587615966797,7.22108674171538,2.4369397163391113
imdb_wiki,1,xgb_quantile,difficulty_weighted,low,1299,0.9507313317936874,42.418975830078125,6.279066928799761,0.6112774014472961
imdb_wiki,1,xgb_quantile,difficulty_weighted,mid,1356,0.9572271386430679,36.847068786621094,5.745257457291978,1.2937287092208862
imdb_wiki,1,xgb_quantile,difficulty_weighted,high,1267,0.9431728492501973,49.301639556884766,7.611814009920682,2.4369397163391113
imdb_wiki,1,xgb_quantile,binned_weighted_dis,low,1299,0.9468822170900693,37.54421615600586,5.9859889420325185,0.6112774014472961
imdb_wiki,1,xgb_quantile,binned_weighted_dis,mid,1356,0.9638643067846607,35.983219146728516,5.6894899791375915,1.2937287092208862
imdb_wiki,1,xgb_quantile,binned_weighted_dis,high,1267,0.9447513812154696,43.40692901611328,7.2474176293120065,2.4369397163391113
imdb_wiki,1,sourcewise_stack,marginal,low,1299,0.9438029253271748,35.955657958984375,5.40410363816656,0.6112774014472961
imdb_wiki,1,sourcewise_stack,marginal,mid,1356,0.9601769911504425,35.95566177368164,4.918681789804569,1.2937287092208862
imdb_wiki,1,sourcewise_stack,marginal,high,1267,0.9526440410418311,35.955657958984375,4.931408686092964,2.4369397163391113
imdb_wiki,1,sourcewise_stack,mondrian_dis,low,1299,0.9553502694380293,38.838565826416016,5.483197245126267,0.6112774014472961
imdb_wiki,1,sourcewise_stack,mondrian_dis,mid,1356,0.9491150442477876,33.34146499633789,4.828595374700603,1.2937287092208862
imdb_wiki,1,sourcewise_stack,mondrian_dis,high,1267,0.9486977111286503,35.10833740234375,4.900796845925001,2.4369397163391113
imdb_wiki,1,sourcewise_stack,weighted_dis,low,1299,0.930715935334873,33.9821662902832,5.364206305112014,0.6112774014472961
imdb_wiki,1,sourcewise_stack,weighted_dis,mid,1356,0.9579646017699115,35.677188873291016,4.911577900690145,1.2937287092208862
imdb_wiki,1,sourcewise_stack,weighted_dis,high,1267,0.9700078926598263,41.27706527709961,5.130898489420833,2.4369397163391113
imdb_wiki,1,sourcewise_stack,difficulty_weighted,low,1299,0.9499615088529638,36.965362548828125,5.40566377552609,0.6112774014472961
imdb_wiki,1,sourcewise_stack,difficulty_weighted,mid,1356,0.9476401179941003,32.829994201660156,4.720151394362896,1.2937287092208862
imdb_wiki,1,sourcewise_stack,difficulty_weighted,high,1267,0.9597474348855565,35.75200271606445,4.823238738346016,2.4369397163391113
imdb_wiki,1,sourcewise_stack,binned_weighted_dis,low,1299,0.9438029253271748,35.955657958984375,5.40410363816656,0.6112774014472961
imdb_wiki,1,sourcewise_stack,binned_weighted_dis,mid,1356,0.9601769911504425,35.95566177368164,4.918681789804569,1.2937287092208862
imdb_wiki,1,sourcewise_stack,binned_weighted_dis,high,1267,0.9526440410418311,35.955657958984375,4.931408686092964,2.4369397163391113
imdb_wiki,1,sourcewise_quantile,marginal,low,1299,0.9745958429561201,46.471500396728516,6.970612183222878,0.6112774014472961
imdb_wiki,1,sourcewise_quantile,marginal,mid,1356,0.9660766961651918,45.27593231201172,7.753361012697037,1.2937287092208862
imdb_wiki,1,sourcewise_quantile,marginal,high,1267,0.9100236779794791,48.35454559326172,9.571965338986905,2.4369397163391113
imdb_wiki,1,sourcewise_quantile,mondrian_dis,low,1299,0.9591993841416474,43.60335159301758,6.929852584492069,0.6112774014472961
imdb_wiki,1,sourcewise_quantile,mondrian_dis,mid,1356,0.9535398230088495,43.739898681640625,7.763672693056736,1.2937287092208862
imdb_wiki,1,sourcewise_quantile,mondrian_dis,high,1267,0.9526440410418311,53.85216522216797,9.49680221409917,2.4369397163391113
imdb_wiki,1,sourcewise_quantile,weighted_dis,low,1299,0.970746728252502,45.47766876220703,6.953113051003194,0.6112774014472961
imdb_wiki,1,sourcewise_quantile,weighted_dis,mid,1356,0.9623893805309734,44.85942077636719,7.754388127569626,1.2937287092208862
imdb_wiki,1,sourcewise_quantile,weighted_dis,high,1267,0.9273875295974744,49.24099349975586,9.53895090202266,2.4369397163391113
imdb_wiki,1,sourcewise_quantile,difficulty_weighted,low,1299,0.9761354888375674,46.78940963745117,6.997175243590657,0.6112774014472961
