dataset,base,calibration,bin,n_mean,picp_mean,picp_std,mpiw_mean,mpiw_std,crps_mean,disagreement_mean
imdb_wiki,xgb_quantile,binned_weighted_dis,mid,1340.8,0.9634326853614237,0.002850921838370591,36.18329849243164,0.5487621044212605,5.644247179707785,1.2670688867568969
imdb_wiki,xgb_quantile,difficulty_weighted,high,1295.0,0.9417914590506953,0.0031979471047501075,50.69562683105469,2.3846632649506847,7.752179050137616,2.3857067584991456
imdb_wiki,xgb_quantile,difficulty_weighted,low,1286.2,0.9534890098465517,0.004848818574759354,43.87595062255859,1.45973473344979,6.410749174894721,0.5995884299278259
imdb_wiki,xgb_quantile,difficulty_weighted,mid,1340.8,0.958430434830271,0.004468235665911448,39.61824340820313,2.5735292173799538,5.904497362881927,1.2670688867568969
imdb_wiki,xgb_quantile,marginal,high,1295.0,0.9328056100697099,0.00282111244892109,41.52428436279297,0.6134045922683697,7.21766618949943,2.3857067584991456
imdb_wiki,xgb_quantile,marginal,low,1286.2,0.958927456404683,0.005337869197055028,39.60963134765625,0.5859492238642591,6.077549748578453,0.5995884299278259
imdb_wiki,xgb_quantile,marginal,mid,1340.8,0.9635824980955061,0.002710551996272645,36.205136108398435,0.5448358527152671,5.644601273191752,1.2670688867568969
imdb_wiki,xgb_quantile,mondrian_dis,high,1295.0,0.9539454318164706,0.003735237314744708,45.17615509033203,1.1191471342237178,7.254368214376477,2.3857067584991456
imdb_wiki,xgb_quantile,mondrian_dis,low,1286.2,0.9541124418836443,0.006025052102010909,38.91979446411133,0.6470591621472427,6.066501524059179,0.5995884299278259
imdb_wiki,xgb_quantile,mondrian_dis,mid,1340.8,0.9519257149567334,0.004694410009296323,34.45393676757813,0.5302748774112468,5.6224240062264945,1.2670688867568969
imdb_wiki,xgb_quantile,weighted_dis,high,1295.0,0.9408620615912865,0.004043760975356364,42.69685440063476,1.2655921468346165,7.207536152894834,2.3857067584991456
imdb_wiki,xgb_quantile,weighted_dis,low,1286.2,0.9525842174587555,0.003296501230637627,38.55950393676758,0.5250679000487938,6.060321223591799,0.5995884299278259
imdb_wiki,xgb_quantile,weighted_dis,mid,1340.8,0.9614849713615186,0.002234153287323913,35.760240173339845,0.41501919446050695,5.637966783899038,1.2670688867568969
mercari,sourcewise_quantile,binned_weighted_dis,high,3339.2,0.9389434058377658,0.001800816859200278,2.5853122234344483,0.046696433128765265,0.4166980284272775,1.8767653226852417
mercari,sourcewise_quantile,binned_weighted_dis,low,3318.4,0.9565056904988462,0.003252769535744851,2.391565132141113,0.03025101517676593,0.36465693957151535,0.24297174215316772
mercari,sourcewise_quantile,binned_weighted_dis,mid,3342.4,0.956511026443631,0.0029856759746877378,2.444334888458252,0.02263242056626342,0.3716085172778093,0.7931935310363769
mercari,sourcewise_quantile,difficulty_weighted,high,3339.2,0.9364852387207548,0.001616244493361838,2.7648444175720215,0.2663938397264197,0.4335013145104013,1.8767653226852417
mercari,sourcewise_quantile,difficulty_weighted,low,3318.4,0.959512806428252,0.001793507010421598,2.499974250793457,0.10029838733355545,0.3716840017223001,0.24297174215316772
mercari,sourcewise_quantile,difficulty_weighted,mid,3342.4,0.9554732143917546,0.002517378613875106,2.5010531902313233,0.09388012296272251,0.37624009529497426,0.7931935310363769
mercari,sourcewise_quantile,marginal,high,3339.2,0.9351003369310844,0.002183059498862056,2.535161828994751,0.014842182447456963,0.4159593829235927,1.8767653226852417
mercari,sourcewise_quantile,marginal,low,3318.4,0.9599936332138108,0.001398163114962326,2.4322378158569338,0.017411998887951922,0.36551650721201057,0.24297174215316772
mercari,sourcewise_quantile,marginal,mid,3342.4,0.957232694894999,0.002471815088178637,2.4511321544647218,0.018167705069735023,0.3717520861000617,0.7931935310363769
mercari,sourcewise_quantile,mondrian_dis,high,3339.2,0.945686622976172,0.004686709641709093,2.674295520782471,0.05049661614537527,0.41824792731541527,1.8767653226852417
mercari,sourcewise_quantile,mondrian_dis,low,3318.4,0.9550983689918224,0.004978935939581937,2.3801520347595213,0.055221498116837305,0.3644498567544247,0.24297174215316772
mercari,sourcewise_quantile,mondrian_dis,mid,3342.4,0.950286253953766,0.004221952025038771,2.3745112895965574,0.02789124993305107,0.3702610325936221,0.7931935310363769
mercari,sourcewise_quantile,weighted_dis,high,3339.2,0.9402512303718085,0.003969607164027138,2.5914730548858644,0.06770659559600309,0.41648455161396036,1.8767653226852417
mercari,sourcewise_quantile,weighted_dis,low,3318.4,0.9568492950032612,0.0025729877440291483,2.3877211093902586,0.021043723934346975,0.36457796649016594,0.24297174215316772
mercari,sourcewise_quantile,weighted_dis,mid,3342.4,0.955794102592237,0.0020884359215770382,2.4334405422210694,0.014972171361330161,0.37137204724720546,0.7931935310363769
mercari,sourcewise_stack,binned_weighted_dis,high,3339.2,0.9377224251509132,0.005864318391320318,2.3940829277038573,0.07324794609988931,0.35994298531181174,1.8767653226852417
