dataset,seed,regime,method,picp,mpiw,niw,nciw,crps,c_test_cal,q_global,q_pooled_masked,q_regime
mercari,4,no_text,pooled_masked_cal,0.949,2.625013589859009,0.35126311864310744,0.353938186195602,0.38445152753446377,1.007615566253662,1.1737596988677979,1.312506914138794,1.312506914138794
mercari,4,no_text,mask_matched_cal,0.949,2.625013589859009,0.35126311864310744,0.353938186195602,0.38445152753446377,1.007615566253662,1.1737596988677979,1.312506914138794,1.312506914138794
mercari,4,tab_only,global_full_cal,0.9339,2.3475193977355957,0.31413055837477943,0.3539382160612822,0.3779791332673382,1.126723289489746,1.1737596988677979,1.312506914138794,1.312506914138794
mercari,4,tab_only,pooled_masked_cal,0.949,2.625013589859009,0.35126311864310744,0.353938186195602,0.38445152753446377,1.007615566253662,1.1737596988677979,1.312506914138794,1.312506914138794
mercari,4,tab_only,mask_matched_cal,0.949,2.625013589859009,0.35126311864310744,0.353938186195602,0.38445152753446377,1.007615566253662,1.1737596988677979,1.312506914138794,1.312506914138794
pawpularity,0,full,global_full_cal,0.9435199193141705,76.21177673339844,0.7776711911571269,0.8044069386735884,10.32188671596336,1.034379243850708,38.10588455200195,45.3353271484375,38.10588455200195
pawpularity,0,full,pooled_masked_cal,0.9435199193141705,76.21177673339844,0.7776711911571269,0.8044069386735884,10.32188671596336,1.034379243850708,38.10588455200195,45.3353271484375,38.10588455200195
pawpularity,0,full,mask_matched_cal,0.9435199193141705,76.21177673339844,0.7776711911571269,0.8044069386735884,10.32188671596336,1.034379243850708,38.10588455200195,45.3353271484375,38.10588455200195
pawpularity,0,no_image,global_full_cal,0.9324256177508825,76.2117691040039,0.7776711133061623,0.9127783384189607,11.481301388815101,1.173733115196228,38.10588455200195,45.3353271484375,45.3353271484375
pawpularity,0,no_image,pooled_masked_cal,0.9515885022692889,90.670654296875,0.9252107581313775,0.9127782848923484,11.998150948123135,0.9865625500679016,38.10588455200195,45.3353271484375,45.3353271484375
pawpularity,0,no_image,mask_matched_cal,0.9515885022692889,90.670654296875,0.9252107581313775,0.9127782848923484,11.998150948123135,0.9865625500679016,38.10588455200195,45.3353271484375,45.3353271484375
pawpularity,0,tab_only,global_full_cal,0.9324256177508825,76.2117691040039,0.7776711133061623,0.9127783384189607,11.481301388815101,1.173733115196228,38.10588455200195,45.3353271484375,45.3353271484375
pawpularity,0,tab_only,pooled_masked_cal,0.9515885022692889,90.670654296875,0.9252107581313775,0.9127782848923484,11.998150948123135,0.9865625500679016,38.10588455200195,45.3353271484375,45.3353271484375
pawpularity,0,tab_only,mask_matched_cal,0.9515885022692889,90.670654296875,0.9252107581313775,0.9127782848923484,11.998150948123135,0.9865625500679016,38.10588455200195,45.3353271484375,45.3353271484375
pawpularity,1,full,global_full_cal,0.9525970751386788,80.3483657836914,0.8198812835070551,0.8024342663097369,10.50037537821922,0.9787200689315796,40.17417907714844,46.80259704589844,40.17417907714844
